dataset_version,class_name,sample_type,status,relative_path,pred_label,confidence,figure_path,note
color,Apple___Apple_scab,correct,selected,Apple___Apple_scab/fc9c12dc-1bdb-402d-ada8-dc1b33c84d5b___FREC_Scab 2932.JPG,Apple___Apple_scab,0.9919,color/correct_samples/correct_apple___apple_scab.png,
color,Apple___Apple_scab,incorrect,missing,,,,,no misclassified sample found
color,Apple___Black_rot,correct,selected,Apple___Black_rot/77843368-1495-4113-b865-83e381f0641e___JR_FrgE.S 8791.JPG,Apple___Black_rot,0.9898,color/correct_samples/correct_apple___black_rot.png,
color,Apple___Black_rot,incorrect,missing,,,,,no misclassified sample found
color,Apple___Cedar_apple_rust,correct,selected,Apple___Cedar_apple_rust/d7fb4740-9707-484f-9809-b7efa8f7851d___FREC_C.Rust 4344.JPG,Apple___Cedar_apple_rust,0.9927,color/correct_samples/correct_apple___cedar_apple_rust.png,
color,Apple___Cedar_apple_rust,incorrect,missing,,,,,no misclassified sample found
color,Apple___healthy,correct,selected,Apple___healthy/818082df-492c-4c5e-a3bb-a3153818d816___RS_HL 7319.JPG,Apple___healthy,0.9918,color/correct_samples/correct_apple___healthy.png,
color,Apple___healthy,incorrect,missing,,,,,no misclassified sample found
color,Blueberry___healthy,correct,selected,Blueberry___healthy/da4cfc81-f79b-464b-8d00-0d4adeaaf0a1___RS_HL 2557.JPG,Blueberry___healthy,0.9961,color/correct_samples/correct_blueberry___healthy.png,
color,Blueberry___healthy,incorrect,missing,,,,,no misclassified sample found
color,Cherry_(including_sour)___Powdery_mildew,correct,selected,Cherry_(including_sour)___Powdery_mildew/9a190630-f11a-4e5b-9495-3c4535bb4144___FREC_Pwd.M 0367.JPG,Cherry_(including_sour)___Powdery_mildew,0.9934,color/correct_samples/correct_cherry__including_sour____powdery_mildew.png,
color,Cherry_(including_sour)___Powdery_mildew,incorrect,missing,,,,,no misclassified sample found
color,Cherry_(including_sour)___healthy,correct,selected,Cherry_(including_sour)___healthy/c7003e27-49fe-4b61-a6d2-a72c7595f297___JR_HL 9893.JPG,Cherry_(including_sour)___healthy,0.9889,color/correct_samples/correct_cherry__including_sour____healthy.png,
color,Cherry_(including_sour)___healthy,incorrect,missing,,,,,no misclassified sample found
color,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,correct,selected,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/1b6664a7-03f9-4ced-8dcd-b85a18554aa5___RS_GLSp 7324.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9881,color/correct_samples/correct_corn__maize____cercospora_leaf_spot_gray_leaf_spot.png,
color,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,incorrect,selected,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/2162861c-60d9-4831-b922-362d70a47b92___RS_GLSp 4554.JPG,Corn_(maize)___Northern_Leaf_Blight,0.7542,color/incorrect_samples/incorrect_corn__maize____cercospora_leaf_spot_gray_leaf_spot.png,
color,Corn_(maize)___Common_rust_,correct,selected,Corn_(maize)___Common_rust_/RS_Rust 2475.JPG,Corn_(maize)___Common_rust_,0.9928,color/correct_samples/correct_corn__maize____common_rust.png,
color,Corn_(maize)___Common_rust_,incorrect,missing,,,,,no misclassified sample found
color,Corn_(maize)___Northern_Leaf_Blight,correct,selected,Corn_(maize)___Northern_Leaf_Blight/23f7ce7f-23fc-42b1-86d0-69c7f7010812___RS_NLB 3639.JPG,Corn_(maize)___Northern_Leaf_Blight,0.9858,color/correct_samples/correct_corn__maize____northern_leaf_blight.png,
color,Corn_(maize)___Northern_Leaf_Blight,incorrect,selected,Corn_(maize)___Northern_Leaf_Blight/6089948d-346f-4745-af12-4355a7ef3dea___RS_NLB 3800.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9013,color/incorrect_samples/incorrect_corn__maize____northern_leaf_blight.png,
color,Corn_(maize)___healthy,correct,selected,Corn_(maize)___healthy/363ba8b2-4b66-4caa-ae2c-df6523aa6da6___R.S_HL 8234 copy 2.jpg,Corn_(maize)___healthy,0.9866,color/correct_samples/correct_corn__maize____healthy.png,
color,Corn_(maize)___healthy,incorrect,missing,,,,,no misclassified sample found
color,Grape___Black_rot,correct,selected,Grape___Black_rot/aeb30f42-c4b4-451a-9e5c-1e0f7510b023___FAM_B.Rot 0630.JPG,Grape___Black_rot,0.9956,color/correct_samples/correct_grape___black_rot.png,
color,Grape___Black_rot,incorrect,selected,Grape___Black_rot/fa7dafca-d9a3-4d58-aa56-da5feae6f6da___FAM_B.Rot 3312.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.5954,color/incorrect_samples/incorrect_grape___black_rot.png,
color,Grape___Esca_(Black_Measles),correct,selected,Grape___Esca_(Black_Measles)/011f307f-e06b-4604-9419-d940f7b00290___FAM_B.Msls 1096.JPG,Grape___Esca_(Black_Measles),0.9930,color/correct_samples/correct_grape___esca__black_measles.png,
color,Grape___Esca_(Black_Measles),incorrect,missing,,,,,no misclassified sample found
color,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),correct,selected,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/fa52d9fa-9ebc-40d1-9132-6e63fec927f2___FAM_L.Blight 3695.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9927,color/correct_samples/correct_grape___leaf_blight__isariopsis_leaf_spot.png,
color,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),incorrect,missing,,,,,no misclassified sample found
color,Grape___healthy,correct,selected,Grape___healthy/632553f4-7a29-4724-88ff-fbdbfbbc8168___Mt.N.V_HL 6069.JPG,Grape___healthy,0.9914,color/correct_samples/correct_grape___healthy.png,
color,Grape___healthy,incorrect,missing,,,,,no misclassified sample found
color,Orange___Haunglongbing_(Citrus_greening),correct,selected,Orange___Haunglongbing_(Citrus_greening)/06e72bcc-59b3-4278-ad9b-4a34d3a481cc___UF.Citrus_HLB_Lab 1228.JPG,Orange___Haunglongbing_(Citrus_greening),0.9908,color/correct_samples/correct_orange___haunglongbing__citrus_greening.png,
color,Orange___Haunglongbing_(Citrus_greening),incorrect,selected,Orange___Haunglongbing_(Citrus_greening)/4365fde5-37f0-448f-9e80-f081c8beb979___CREC_HLB 3924.JPG,"Pepper,_bell___healthy",0.9155,color/incorrect_samples/incorrect_orange___haunglongbing__citrus_greening.png,
color,Peach___Bacterial_spot,correct,selected,Peach___Bacterial_spot/a72f9871-d2e3-49f3-b10a-bad425b626eb___Rut._Bact.S 3476.JPG,Peach___Bacterial_spot,0.9901,color/correct_samples/correct_peach___bacterial_spot.png,
