dataset_version,class_name,sample_type,status,relative_path,pred_label,confidence,figure_path,note
grayscale,Apple___Apple_scab,correct,selected,Apple___Apple_scab/fbd09d7f-e816-408a-946e-e4009ec8cae1___FREC_Scab 3289.JPG,Apple___Apple_scab,0.9948,grayscale/correct_samples/correct_apple___apple_scab.png,
grayscale,Apple___Apple_scab,incorrect,selected,Apple___Apple_scab/24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533.JPG,Apple___Black_rot,0.8215,grayscale/incorrect_samples/incorrect_apple___apple_scab.png,
grayscale,Apple___Black_rot,correct,selected,Apple___Black_rot/58053fa6-04df-4c96-901e-924bdbcaaf1e___JR_FrgE.S 8774.JPG,Apple___Black_rot,0.9810,grayscale/correct_samples/correct_apple___black_rot.png,
grayscale,Apple___Black_rot,incorrect,missing,,,,,no misclassified sample found
grayscale,Apple___Cedar_apple_rust,correct,selected,Apple___Cedar_apple_rust/affae282-693e-4078-b037-de7037ecdcdc___FREC_C.Rust 9909.JPG,Apple___Cedar_apple_rust,0.9938,grayscale/correct_samples/correct_apple___cedar_apple_rust.png,
grayscale,Apple___Cedar_apple_rust,incorrect,selected,Apple___Cedar_apple_rust/fb27b16c-4ac1-45e9-abd2-487a1a528fb0___FREC_C.Rust 0206.JPG,Tomato___Septoria_leaf_spot,0.8822,grayscale/incorrect_samples/incorrect_apple___cedar_apple_rust.png,
grayscale,Apple___healthy,correct,selected,Apple___healthy/9871fd63-1ee8-436a-a1b3-c6104350400b___RS_HL 5693.JPG,Apple___healthy,0.9930,grayscale/correct_samples/correct_apple___healthy.png,
grayscale,Apple___healthy,incorrect,selected,Apple___healthy/1c85fc77-1843-4a85-8f21-107385d5873c___RS_HL 7272.JPG,Apple___Apple_scab,0.6898,grayscale/incorrect_samples/incorrect_apple___healthy.png,
grayscale,Blueberry___healthy,correct,selected,Blueberry___healthy/dd512712-19b6-4c2d-b47e-50ca9eabb343___RS_HL 0761.JPG,Blueberry___healthy,0.9896,grayscale/correct_samples/correct_blueberry___healthy.png,
grayscale,Blueberry___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Cherry_(including_sour)___Powdery_mildew,correct,selected,Cherry_(including_sour)___Powdery_mildew/45738ed0-df8b-4fcb-ac68-8393fcacbfec___FREC_Pwd.M 0498.JPG,Cherry_(including_sour)___Powdery_mildew,0.9771,grayscale/correct_samples/correct_cherry__including_sour____powdery_mildew.png,
grayscale,Cherry_(including_sour)___Powdery_mildew,incorrect,selected,Cherry_(including_sour)___Powdery_mildew/cd5b2229-4131-4e14-a4e3-7b0194334707___FREC_Pwd.M 5162.JPG,Tomato___Late_blight,0.8927,grayscale/incorrect_samples/incorrect_cherry__including_sour____powdery_mildew.png,
grayscale,Cherry_(including_sour)___healthy,correct,selected,Cherry_(including_sour)___healthy/baa49a32-a5a5-48a0-8c1c-2c599853e460___JR_HL 3970.JPG,Cherry_(including_sour)___healthy,0.9908,grayscale/correct_samples/correct_cherry__including_sour____healthy.png,
grayscale,Cherry_(including_sour)___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,correct,selected,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/7b0308b0-8997-4318-b3e0-26c658f8dadf___RS_GLSp 7300.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9721,grayscale/correct_samples/correct_corn__maize____cercospora_leaf_spot_gray_leaf_spot.png,
grayscale,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,incorrect,selected,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/c6df65ae-6f54-4962-a7f3-cc21fd3e5b4d___RS_GLSp 3810 copy 2.jpg,Corn_(maize)___Common_rust_,0.9329,grayscale/incorrect_samples/incorrect_corn__maize____cercospora_leaf_spot_gray_leaf_spot.png,
grayscale,Corn_(maize)___Common_rust_,correct,selected,Corn_(maize)___Common_rust_/RS_Rust 1577.JPG,Corn_(maize)___Common_rust_,0.9959,grayscale/correct_samples/correct_corn__maize____common_rust.png,
grayscale,Corn_(maize)___Common_rust_,incorrect,missing,,,,,no misclassified sample found
grayscale,Corn_(maize)___Northern_Leaf_Blight,correct,selected,Corn_(maize)___Northern_Leaf_Blight/05a7db2d-66b0-4a03-baad-730d04226aba___RS_NLB 4051.JPG,Corn_(maize)___Northern_Leaf_Blight,0.9572,grayscale/correct_samples/correct_corn__maize____northern_leaf_blight.png,
grayscale,Corn_(maize)___Northern_Leaf_Blight,incorrect,selected,Corn_(maize)___Northern_Leaf_Blight/6089948d-346f-4745-af12-4355a7ef3dea___RS_NLB 3800.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9497,grayscale/incorrect_samples/incorrect_corn__maize____northern_leaf_blight.png,
grayscale,Corn_(maize)___healthy,correct,selected,Corn_(maize)___healthy/99020386-3a33-4b62-b707-2986786393c3___R.S_HL 8200 copy.jpg,Corn_(maize)___healthy,0.9834,grayscale/correct_samples/correct_corn__maize____healthy.png,
grayscale,Corn_(maize)___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Grape___Black_rot,correct,selected,Grape___Black_rot/b7393321-8a92-4709-8aca-e97cd505bdf5___FAM_B.Rot 3590.JPG,Grape___Black_rot,0.9899,grayscale/correct_samples/correct_grape___black_rot.png,
grayscale,Grape___Black_rot,incorrect,selected,Grape___Black_rot/68083fb3-c433-43d8-a509-7435803558fc___FAM_B.Rot 3185.JPG,Grape___Esca_(Black_Measles),0.9195,grayscale/incorrect_samples/incorrect_grape___black_rot.png,
grayscale,Grape___Esca_(Black_Measles),correct,selected,Grape___Esca_(Black_Measles)/d780bed0-2dcc-4bfb-bc81-8fdeed0b52ad___FAM_B.Msls 4066.JPG,Grape___Esca_(Black_Measles),0.9824,grayscale/correct_samples/correct_grape___esca__black_measles.png,
grayscale,Grape___Esca_(Black_Measles),incorrect,selected,Grape___Esca_(Black_Measles)/83fe4f4e-1ee6-4fb1-b8c0-0bca55734d69___FAM_B.Msls 4438.JPG,Grape___Black_rot,0.5249,grayscale/incorrect_samples/incorrect_grape___esca__black_measles.png,
grayscale,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),correct,selected,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/f6f9087d-e3e0-4589-9235-e1920938a9f1___FAM_L.Blight 4836.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9936,grayscale/correct_samples/correct_grape___leaf_blight__isariopsis_leaf_spot.png,
grayscale,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),incorrect,missing,,,,,no misclassified sample found
grayscale,Grape___healthy,correct,selected,Grape___healthy/632553f4-7a29-4724-88ff-fbdbfbbc8168___Mt.N.V_HL 6069.JPG,Grape___healthy,0.9806,grayscale/correct_samples/correct_grape___healthy.png,
grayscale,Grape___healthy,incorrect,missing,,,,,no misclassified sample found
grayscale,Orange___Haunglongbing_(Citrus_greening),correct,selected,Orange___Haunglongbing_(Citrus_greening)/a452266c-f39b-4ebe-9195-0fa9d4185d24___UF.Citrus_HLB_Lab 0501.JPG,Orange___Haunglongbing_(Citrus_greening),0.9895,grayscale/correct_samples/correct_orange___haunglongbing__citrus_greening.png,
grayscale,Orange___Haunglongbing_(Citrus_greening),incorrect,missing,,,,,no misclassified sample found
grayscale,Peach___Bacterial_spot,correct,selected,Peach___Bacterial_spot/fd210bbc-a5c9-4401-82e7-4dc66b954f75___Rut._Bact.S 1151.JPG,Peach___Bacterial_spot,0.9900,grayscale/correct_samples/correct_peach___bacterial_spot.png,
grayscale,Peach___Bacterial_spot,incorrect,selected,Peach___Bacterial_spot/eafb35ad-9f2a-415f-92ca-87c1a43e6736___Rutg._Bact.S 1964.JPG,Tomato___Septoria_leaf_spot,0.9070,grayscale/incorrect_samples/incorrect_peach___bacterial_spot.png,
grayscale,Peach___healthy,correct,selected,Peach___healthy/2e9b1f70-53cb-452a-84ff-dada75773e2e___Rutg._HL 2442.JPG,Peach___healthy,0.9805,grayscale/correct_samples/correct_peach___healthy.png,
grayscale,Peach___healthy,incorrect,selected,Peach___healthy/4a87f671-1b68-49cb-bb69-7be29499caba___Rutg._HL 3716.JPG,Peach___Bacterial_spot,0.9046,grayscale/incorrect_samples/incorrect_peach___healthy.png,
